관리번호,제목,언론사,언론사 구분,사용구분,등록일
31184,100년 전 독립신문 활자 ‘독립기념관체’ 무료로 쓰세요,한겨레언론사 선정,기타,Y,2021-01-27
31185,독립기념관 전용 서체 '독립기념관체' 무료 배포,충청뉴스,기타,Y,2021-01-27
31186,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 하늘도 도운 봉오동대...,오마이뉴스,기타,Y,2021-01-27
31187,한시준 독립기념관장,조선일보,중앙지,Y,2021-01-27
31188,"계룡시, 상반기 지방재정 신속집행 속도",충청타임즈,기타,Y,2021-01-27
31189,[박동규의 민심레이더] 대선 주자들의 '정치 공학'과 '방정식',뉴스워치,기타,Y,2021-01-27
31190,"계룡시, 대규모 투자사업 추진상황 점검회의",충청매일,기타,Y,2021-01-27
31191,독립기념관 전용 서체 ‘독립기념관체’ 무료 배포,중도일보,지역종합지,Y,2021-01-28
31192,"독립기념관, 독립정신 담은 '독립기념관체' 무료 배포",중부매일,지역종합지,Y,2021-01-28
31193,'독립기념관체' 무료 배포…한글 2780자 영문 94자 등,뉴스1,기타,Y,2021-01-28
31194,독립기념관 전용 서체 '독립기념관체' 무료 배포,매일일보,기타,Y,2021-01-28
31195,"<현안 인터뷰-황기철>“독립·호국·민주, 어느 한쪽으로도 치우치지 않는 보...",문화일보,중앙지,Y,2021-01-28
31196,"독립기념관, 전용 서체 무료 배포",내외뉴스통신,기타,Y,2021-01-28
31197,"창원시, 시민체감형 복지서비스 제공기반 구축",경남데일리,기타,Y,2021-01-28
31198,"창원시, 시민체감형 복지서비스 제공기반 구축",부산일보,지역종합지,Y,2021-01-28
31199,백성들 억울함 풀어준 암행어사 박문수 잠든 천안,충청투데이,지역종합지,Y,2021-01-28
31200,"독립기념관, 대구사범학교 청년들의 '다혁당' 기린다",충청투데이,지역종합지,Y,2021-01-29
31201,대구 비밀결사 조직한 3명의 선생…2월의 독립운동가 선정,뉴스1,기타,Y,2021-01-29
31202,"대구사범 ‘비밀결사’ 권쾌복·배학보·유흥수, 2월의 독립운동가 선정",한겨레,중앙지,Y,2021-01-29
31203,"보훈처, 2월의 독립운동가에 권쾌복·배학보·유흥수 선정",서울경제,경제지,Y,2021-01-29
31204,"대구사범학교 항일 비밀결사 결성한 고 권쾌복·배학보·유흥수 선생, 2월 독...",YTN,방송사,Y,2021-01-29
31205,2월의 독립운동가에 권쾌복·배학보·유흥수 선생,코나스,기타,Y,2021-01-29
31206,"대구사범학교 비밀결사 '다혁당' 결성 3인, 2월 독립운동가 선정",연합뉴스,기타,Y,2021-01-29
31207,"민주노총, 경북도청 앞 천막농성",안동MBC,기타,Y,2021-01-29
31208,[신간│명성황후 평전·이상설 평전·서재필 평전·유인석 평전] 명성황후·이...,내일신문,중앙지,Y,2021-01-29
31209,[박동규의 세상만사] '약' 주고 '병' 주는 보건복지부,시사오늘,기타,Y,2021-01-29
31210,"독립기념관, 2월 독립운동가 권쾌복·배학보·유흥수… 전시회 개최",천지일보,기타,Y,2021-01-30
31211,"전남서부보훈지청, 함평군 청소년 문화의 집에 보훈테마활동 우수기관 표창장...",시민일보,기타,Y,2021-01-30
31212,"독립기념관, 2021년 2월의 독립운동가 전시회 개최",매일일보,기타,Y,2021-01-31
31213,"2월의 독립운동가, 권쾌복·배학보·유흥수 선생 선정",충청투데이,지역종합지,Y,2021-01-31
31214,"독립기념관, 다혁당을 이끈 권쾌복·배학보·유흥수선생 2월의 독립운동가로 ...",금강일보,기타,Y,2021-01-31
31215,창원시 시민체감형 복지서비스 제공기반 구축한다,뉴스경남,기타,Y,2021-01-31
31216,"독립기념관, 3.1절 기념 '만세재현운동 온라인 이벤트' 실시",불교공뉴스,기타,Y,2021-02-01
31217,"독립기념관, 3.1절 기념 '만세재현운동 온라인 이벤트' 실시",충청뉴스,기타,Y,2021-02-01
31218,"독립기념관, 3.1절 기념 '만세재현운동 온라인 이벤트'",뉴스티앤티,기타,Y,2021-02-01
31219,"2021년 2월의 독립운동가, 권쾌복 · 배학보 · 유흥수 선생 선정",중도일보,지역종합지,Y,2021-02-01
31220,"백군기 용인시장, “난개발 오명 씻고 세계적 반도체 도시로”",머니투데이,경제지,Y,2021-02-01
31221,[밀물썰물] 구명학교,부산일보언론사 선정,기타,Y,2021-02-01
31222,"'진주학 총서, 역사도시 기록하는 또 하나의 시작점",오마이뉴스,기타,Y,2021-02-01
31223,'남산예장자락' 재생사업 5월 마무리…아픈역사 회복 중점,아주경제,경제지,Y,2021-02-03
31224,"‘중정 고문실’있던 남산 예장자락, 역사현장으로 재탄생",문화일보,중앙지,Y,2021-02-03
31225,"옛 중앙정보부 터 '남산 예장자락', 녹지공원으로 재탄생",머니투데이,경제지,Y,2021-02-03
31226,"서울 남산예장자락, 아픈 역사 기억의 공간으로 재탄생",TBS,기타,Y,2021-02-03
31227,"[르포] 남산의 광복, 115년만에 시민품에 안긴 '남산예장자락공원'",서울와이어,기타,Y,2021-02-03
31228,[르포]'일제·군사독재 어두운 역사' 남산예장자락 115년만에 시민품으로,아주경제,경제지,Y,2021-02-03
31229,“공부할수록 ‘독립운동사는 위대한 학문’ 뼈저리게 깨닫죠”,한겨레,중앙지,Y,2021-02-04
31230,"경북도교육청, 독립운동길 탐방 교재 잇따라 발간",뉴시스,기타,Y,2021-02-04
31231,"경북교육청, ‘다시 걷는 경북의 독립운동길’ 탐방 교재 제작",브레이크뉴스,기타,Y,2021-02-04
31232,"경북교육청, 경북 독립운동길 탐방 교재 제작",경상매일신문,기타,Y,2021-02-04
31233,"경북교육청, 독립운동길 탐방교재 제작",에너지경제,기타,Y,2021-02-04
31234,"독립기념관, 2021년 2월의 독립운동가 전시회",뉴스프리존,기타,Y,2021-02-04
31235,"경북교육청, ‘다시 걷는 경북의 독립운동길’ 탐방 교제 제작",글로벌에듀,기타,Y,2021-02-04
31236,"경북교육청, 독립운동길 탐방교재 제작",뉴스웍스,기타,Y,2021-02-04
31237,"경북교육청, 지역 독립운동가 이야기 엮은 탐방 교재 `제작`",경북신문,기타,Y,2021-02-04
31238,[목요초대석] '불꽃으로 살고 별빛이 되다' 김용균 바른 대표변호사,법률신문,기타,Y,2021-02-04
31239,"경북교육청, 독립운동길 탐방교재 제작",열린뉴스통신,기타,Y,2021-02-05
31240,"대구사범학교 청년들, 항일 비밀결사 ‘다혁당’ 조직",통일신문,기타,Y,2021-02-05
31241,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] '자유시 참변' 독립군...,오마이뉴스,기타,Y,2021-02-06
31242,"한시준 독립기념관장 ""독립정신은 불가능에 맞선 도전정신…대한민국 발전 이...",한국경제,경제지,Y,2021-02-07
31243,[[김삼웅의 인물열전] 무장독립투사 최운산 장군 평전] 정보력으로 직할부대원...,오마이뉴스,기타,Y,2021-02-07
31244,아동권리보장원-독립기념관 '아동권리·독립운동 가치 확산' MOU,베이비타임즈,기타,Y,2021-02-08
31245,"독립기념관-아동권리보장원, 업무협약 체결",충청투데이,지역종합지,Y,2021-02-08
31246,독립기념관-아동권리보장원과 업무협약 체결,충청뉴스,기타,Y,2021-02-08
31247,독립기념관-아동권리보장원과 업무협약 체결,매일일보,기타,Y,2021-02-08
31248,"독립기념관, 아동권리보장원과 업무협약 체결",중부매일,지역종합지,Y,2021-02-08
31249,독립기념관-아동권리보장원과 업무협약 체결,불교공뉴스,기타,Y,2021-02-08
31250,독립기념관ㆍ아동권리보장원 업무협약 체결,충청일보,지역종합지,Y,2021-02-08
31251,"독립기념관-아동권리보장원, 아동권리 존중 문화·독립운동 가치 확산 '맞손'",천지일보,기타,Y,2021-02-08
31252,"황푸군관학교, 한인 청년을 조련한 '혁명의 요람'",오마이뉴스,기타,Y,2021-02-08
31253,"아동권리보장원, 독립기념관과 업무협약 체결",베이비뉴스,기타,Y,2021-02-09
31254,"충남서부보훈지청, 이달의 독립운동가 권쾌복·배학보·유흥수 선생 선정",동양일보,기타,Y,2021-02-09
31255,[단독] 의원 15% 부적절 겸직…이해충돌방지법 ‘하세월’,세계일보언론사 선정,기타,Y,2021-02-09
31256,"컬처플러스, 신간 '나성에 가면' 발간",국제뉴스,기타,Y,2021-02-09
31257,만민공동회 대구독립운동기념관 건립 추진 거리 홍보,매일신문,지역종합지,Y,2021-02-10
31258,[책소개] 나성에 가면,환경일보,기타,Y,2021-02-10
31259,"[신간] 김완중 전 LA총영사, 에세이집 '나성에 가면' 펴내",재외동포신문,기타,Y,2021-02-10
31260,[신간] 한인들의 이야기를 담은 에세이집 '나성에 가면',매일일보,기타,Y,2021-02-10
31261,"[진중권의 퍼스펙티브] ""그들의 조국은 한국이 아니다, 민주당 586의 망상""",중앙일보언론사 선정,기타,Y,2021-02-10
31262,국회의원 47명 '겸직 불가' 판정…'이해충돌방지법'은 차일파일,뉴스1,기타,Y,2021-02-10
31263,"광주학생독립운동기념관, 현충 시설 만족도 '우수'",연합뉴스,기타,Y,2021-02-11
31264,"광주학생독립운동기념회관, '2020 전국현충시설 만족도 조사' 종합 2위",뉴스워커,기타,Y,2021-02-11
31265,"광주학생독립운동기념회관, ‘2020 전국현충시설 만족도 조사’ 종합 2위",위키트리,기타,Y,2021-02-11
31266,"광주학생독립운동기념관, 현충시설 만족도 ‘우수’",KBS,방송사,Y,2021-02-11
31267,광주학생독립운동기념회관 '2020 전국 현충 시설 만족도 조사' 종합 2위,천지일보,기타,Y,2021-02-11
31268,파워풀한 댄스팀 베럴스웨그 한복입고 우아하게 매력 발산,일간스포츠,기타,Y,2021-02-12
31269,'남산 제모습 찾기 완결'…억압의 상징이 시민공원으로,아주경제,경제지,Y,2021-02-12
31270,"광주학생독립운동기념관, 현충 시설 만족도 ‘우수’",광남일보,기타,Y,2021-02-14
31271,"광주학생기념회관, '전국현충시설 만족도' 전국 2위",광주매일신문,지역종합지,Y,2021-02-15
31272,"[뉴스기획1] 독립운동가, 석오 이동녕선생의 흔적을 찾아",내외뉴스통신,기타,Y,2021-02-16
31273,"광복군 전신 청년공작대, 34명 청년들이 이뤄낸 반향",오마이뉴스,기타,Y,2021-02-16
31274,"[박현주 아트클럽]82세 '경이로운 화가' 윤석남, 여성독립운동가 14인 복원",뉴시스,기타,Y,2021-02-17
31275,"경동건설, 양산 독립운동기념관 건립 후원",경남도민일보,지역종합지,Y,2021-02-17
31276,"경북독립운동기념관, 비상경영 선포... '사중구생(死中求生)' 조직 정상화",내외뉴스통신,기타,Y,2021-02-17
31277,"경북독립운동기념관, 비상경영 선포식",뉴시스,기타,Y,2021-02-17
31278,[기고]대구를 독립운동가가 꿈꾸던 세상으로,매일신문,지역종합지,Y,2021-02-17
31279,[부산경찰서 투탄 순국 100주년] 의열단원 박재혁과 그 친구들 21,오마이뉴스,기타,Y,2021-02-17
31280,"경북독립운동기념관, 위기극복·재도약 '비상경영' 선포",경북일보,기타,Y,2021-02-18
31281,"[특집] 이제 우리가 외쳐야할 건, 진정한 ‘문화독립만세’",경기신문,기타,Y,2021-02-18
31282,"컬처플러스, 한인들의 이야기 담은 에세이집 '나성에 가면' 발간",경북일보,기타,Y,2021-02-18
31283,"서대문구, ""3.1운동, 서대문형무소에서 비대면 개최""",파이낸셜뉴스언론사 선정,기타,Y,2021-02-19
31284,"서대문형무소역사관, 3.1운동 102주년 기념 '서대문, 1919 그날의 함성!' 개최",시민일보,기타,Y,2021-02-19
31285,"'서대문, 1919 그날의 함성'…온라인으로 되새기는 삼일절",뉴스1,기타,Y,2021-02-19
31286,"온라인으로 되새기는 3.1절 '서대문, 1919 그날의 함성'",뉴시스,기타,Y,2021-02-19
31287,"온라인으로 되새기는 3.1절 '서대문, 1919 그날의 함성'",아시아경제,경제지,Y,2021-02-19
31288,"3.1절 축제 ‘서대문, 1919 그날의 함성’ 올해는 온라인으로",헤럴드경제,경제지,Y,2021-02-19
31289,"서대문형무소역사관 3.1절 축제, 올해는 온라인으로",머니S,기타,Y,2021-02-19
31290,[특보] 건조한 날씨 속 곳곳 산불…위기경보 '심각',MBC언론사 선정,기타,Y,2021-02-21
31291,"광주학생독립운동기념회관, 역사체험 프로그램 ‘3.1절’ 운영",위키트리,기타,Y,2021-02-22
31292,함평군 독립운동가 김철 기념관…현충시설 만족도 전국 1위,뉴스핌,기타,Y,2021-02-22
31293,[단독]필립 안 커디(도산 안창호 손자)씨가 하버드대 총장에 보낸 서신 전문,여성신문언론사 선정,기타,Y,2021-02-22
31294,"안동·예천서 산불, 바람 타고 번져…밤새 확산 차단에 주력(종합3보)",연합뉴스언론사 선정,기타,Y,2021-02-22
31295,경북 안동 산불 확산으로 '소방 동원령 1호' 발령,프레시안,기타,Y,2021-02-22
31296,경북 안동산불 발생 21시간 만에 주불진화,프레시안,기타,Y,2021-02-22
31297,"GS25, 독립운동가 '의료진 열사' 33명 알린다",뉴스1,기타,Y,2021-02-23
31298,"안성3.1운동기념관, 제102주년 기념 체험행사 연다",뉴스핌,기타,Y,2021-02-23
31299,"[안성소식] 시, 제102주년 3.1절 기념 체험 행사 개최",뉴시스,기타,Y,2021-02-23
31300,"3월이면 절절한 '대한독립만세', 천안 독립기념관",비즈한국,기타,Y,2021-02-23
31301,[대구경북 돋보기] 경북독립운동기념관 비상경영 선포,LG헬로비전,기타,Y,2021-02-23
31302,"오늘의 대한민국을 만든 사람들, 독립운동가를 아십니까 ",매일일보,기타,Y,2021-02-23
31303,"안성시, 3.1절 기념 체험 행사 개최",브레이크뉴스,기타,Y,2021-02-23
31304,"방화수류정서 울려 퍼진 ‘대한독립만세’, 수원의 독립운동가 김세환",경기신문,기타,Y,2021-02-23
31305,젊은 감성 담은 지역 홍보 영상 중국서 '관심',충청투데이,지역종합지,Y,2021-02-23
31306,"[Today 편의점] 3.1절 기념, ‘열사가 된 의료진들’ 알린다",아시아타임즈,기타,Y,2021-02-23
31307,"GS25, 국가보훈처와 '열사가 된 의료진' 알린다",이투데이,기타,Y,2021-02-23
31308,"GS25, '열사가 된 의료진들' 재조명 캠페인 전개",굿모닝경제,기타,Y,2021-02-23
31309,충남지역 홍보 영상 중국서 높은 관심!,국제뉴스,기타,Y,2021-02-23
31310,젊은 감성 담은 충남지역 홍보 영상 중국서 '관심',아시아투데이,기타,Y,2021-02-23
31311,"충남도, '브랜드 충남 대(對) 중국 SNS 홍보 프로젝트' 돌입",내외뉴스통신,기타,Y,2021-02-23
31312,"GS25X보훈처, 조국 위해 '열사가 된 의료진' 알린다",싱글리스트,기타,Y,2021-02-23
31313,'GS25' 열사가 된 의료진들 재조명 캠페인 전개,한국농업신문,기타,Y,2021-02-23
31314,"'GS25', 열사가 된 의료진들 재조명 캠페인 전개",화이트페이퍼,기타,Y,2021-02-23
31315,충남도 中 SNS 홍보 프로젝트 '성과',충청매일,기타,Y,2021-02-23
31316,"안성3.1운동기념관, 제102주년 3.1절 기념 체험 행사 개최",매일일보,기타,Y,2021-02-24
31317,"안성3.1운동기념관, 제102주년 3.1절 기념 체험 행사 개최",머니S,기타,Y,2021-02-24
31318,"[헬로 이슈토크]""독립·호국·민주정신 계승으로 보훈""_권율정 부산지방보훈청...",LG헬로비전,기타,Y,2021-02-24
31319,"부산광복기념관, 3.1만세운동 '포토존' 상설 운영",국제뉴스,기타,Y,2021-02-24
31320,우리나라 최초 아동극장 복원 건립사업 본격화,연합뉴스,기타,Y,2021-02-24
31321,국민의힘 윤주경 혹은 윤봉길의 손녀가 하지 않은 일에 대하여,딴지일보,기타,Y,2021-02-24
31322,[외안구단]'봉오동 전투' 이끈 홍범도 장군 아내와 아들도 독립 유공자 된다,JTBC언론사 선정,기타,Y,2021-02-25
31323,"광주학생독립운동기념관, 3.12월 독립운동 VR체험존 운영",연합뉴스,기타,Y,2021-02-25
31324,"역사 속으로 한나절, 김포 독립운동기념관",브라보마이라이프,기타,Y,2021-02-25
31325,홍범도 장군 아들 홍양순 선생 등 275명 독립유공자 포상,오마이뉴스,기타,Y,2021-02-25
31326,충북 3.1운동 연구 동향은…1987년 첫 논문 발표,뉴시스,기타,Y,2021-02-25
31327,"경북도 독립운동기념관,‘제102주년 삼일절’기념 체험행사",프레시안,기타,Y,2021-02-25
31328,삼일절 김해 3.1독립운동기념공원 가보면 어떨까,경남신문,지역종합지,Y,2021-02-25
31329,102년전 독립만세운동 온라인에서 재현,내일신문,중앙지,Y,2021-02-25
31330,"안성3.1운동기념관, 선열들의 나라사랑 정신 공감",경기도민일보,기타,Y,2021-02-25
31331,[3.1절 특집] 독립기념관에서 알아보는 민족의식 고찰,충남일보,기타,Y,2021-02-25
31332,［3.1운동 102주년］독립운동 역사 끝나지 않았다,충북일보,지역종합지,Y,2021-02-25
31333,[기고]102주년 삼일절을 맞으며,매일신문,지역종합지,Y,2021-02-25
31334,"부산광복기념관, 3.1만세운동 포토존 상설 운영",시민일보,기타,Y,2021-02-25
31335,홍범도 장군 아들·부인 건국훈장 애국장 받는다,KBS,방송사,Y,2021-02-25
31336,홍범도 장군 아들과 부인 건국훈장 받는다,세계일보,중앙지,Y,2021-02-25
31337,"CU-대구은행, 삼일절 기념 인스타그램 방탈출 이벤트 오픈",스포츠조선,기타,Y,2021-02-25
